video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7305500598084881706,2023-11-25 15:33:44,15,US,"Cat Tunnel Bed, Cat Brush, cattok, pet products, Cats Of TikTok, tik tok shop, TikTok Shop Items, powder donut face pets, cat accessories, toothbrush cat",16200,119,69,321100,Diz and Dub bith love their cat donut from the tiktok shop! Get it before sale runs out! 😻 #fyp #foryou #petbrush #cattunnel #catcave #TikTokShop  #catmom #catdad #catperson #smurfcat #PetsOfTikTok #catbed #catsoftiktok #petlover #catlover #happycat #save #foryoupage #catdonut #tiktokshopblackfriday #tiktokshopcybermonday,TRUE,,misfitpets,Misfitpets,,,,,,FALSE
7303242532790619422,2023-11-19 13:31:12,12,US,"cider sweater dress, Sweater Dress, knitted sweater dress, knitted dress, cider dress, 2 piece knitted dress, dresses, Viral Dress TikTok, Dress Outfit, Fashion Dresses",115900,1650,400,5800000,this dress fits like a glove! so flattering & comfy! love that it is a 2 piece as well 🤍 @Cider #sweaterdress #knitteddress #viraldress #cider #shopcider #TikTokShopBlackFriday #tiktokshopcybermonday,TRUE,,hayyy.leyyy,Hay,,,,,,FALSE
7285271361201687839,2023-10-02 4:14:27,171,US,"homeika pet vacuum, dog grooming vacuum, tik tok shop, homeika vacuum, homeika, dog grooming, Pet Vacuum, Belgian Malinois, vacuums, Vacuum Cleaner Pets",375700,54000,1770,10900000,"Paw Patrol approves this message. 🐶🚔 RUN DONT WALK! @Homeika_Official, I love you. #obsessed #homeikaofficial #homeikavacuum #homeika #tiktokmademebuyit #petgrooming #k9softiktok #k9officer #k9handler #tiktokshop #shoporflop #pawpatrol #holidaysteals",TRUE,,amurphyrn,Allyssa ✨,,,,,,FALSE
7301040085624016170,2023-11-13 15:04:44,71,US,"Cat Water Fountain, stainless steel water fountain, Cat Fountain, stainless steel fountain, uah pet fountain, Cattok, Fountain, Cat Of Tiktok, Stainless Steel, pet products",187000,8453,1416,3600000,Stainless steel water fountains are my favorite. Use code 'WHITEBEARD' for 20% off!! #cats #catsoftiktok #pets #petsoftiktok #tabbycats #tortoiseshellcats #catlover #catslover #cutecats #UAHPET #PetFountain,TRUE,,whitebeardcats,Tammy & Sesame,,,,,,FALSE
7310401556791217450,2023-12-08 20:31:51,64,US,"lenovo gm2pro earbuds, lenovo earbuds, TikTok shop, lenovo, Headphones, gm2 pro, airpods, bluetooth earbuds, bluetooth earphones, Lenovo Headphones",84400,10600,1429,19200000,Most insane deal I’ve ever seen #lenovo #gm2pro #lenovogm2pro #earbuds #bluetooth #music #bluetoothearphone #coolgadget #tiktokshopholidaysale #thinkplus,TRUE,,grantsdealz,GrantsDealz,,,,,,FALSE
7305133360932736299,2023-11-24 15:48:36,83,US,"Gift Idea, gift, black friday sale, Dolphins, Present Ideas, birthday gift, Milk Frother Machine, black friday deals 2023, Milk Soft Candy, Carbonated Milk",686500,34300,7371,14500000,Get em while they last! #blackfridaysale #blackfriday2023 #giftideas #gift,TRUE,,beersycancover,Beersy,,,,,,FALSE
7310348190866361643,2023-12-08 17:04:55,153,US,"digital photo frame, digital picture frame deal 2023, bsimb digital picture frame, picture frame digital, tiktokshop, christmas gift ideas, frameo digital frame, digital frame, tiktok shop online store, bsimbframes",59900,6991,817,8500000,"Not just for grandparents! As a millenial I dont print photos, so this digital frame comes in clutch. @BSIMBFRAMES #christmasgift #giftidea #tiktokshop #tiktokshopgifts #grandparentgifts #digitalphotoframe #tiktokshopholidaydeals",TRUE,,mikesdealfinder,Mikes Deal Finder,,,,,,FALSE
7308910422436990239,2023-12-04 20:05:27,76,US,"TikTok Shop, calendar 2024, mental health calendar, shop tiktok store, TikTok Shop Online Store, calendar, taylor swift 2024 calendar, Tiktok Shop Online, advent calendars, TikTok Calendar",1200000,227900,9022,44000000,A calendar for tired ass women 🤣 #tiredasswomen #2024calendar #tiktokshop #tiktokshopholiday #tiktokshopfinds #tiktokshopmusthavesforgirls,TRUE,,painfreebeauty,Deb,,,,,,FALSE
7308838652145175839,2023-12-04 15:27:12,48,US,"foot massage machine, Foot Massager, feet massaging machine, hand massaging machine, massage chair, tiktok made me buy it, shiatsu massager, Massager Device, Feet Massaging, Machine",461400,20400,2480,21200000,Best investment #feet #footmassage #massager #relief #pain,TRUE,,mr.hagasaki,Evil Taco 😈,,,,,,FALSE
7298876801017859358,2023-11-07 19:09:53,106,US,"kosas blush, kosas, kosas spray, full face makeup, Full Face, Makeup, Full Face Makeup Routine, Full Face Makeup Brand, Makeup Look, lip oil",20900,87,201,627800,All we need is liquid blushes but @Kosas is 🔥!! #fullfacemakeup #kosaslipoil #kosasmakeup #makeupchallenge #fullfacechallenge #kosasreview #makeuproutine,TRUE,,krissleos,Kriss&Esme,,,,,,FALSE
